sentence,label
쳐먹다가 사고쳐놓고 또쳐먹냐,1
그냥 뒤져 빙신아,1
 하고 자빠졋네판빙빙 얼굴바 뭐 하냐탈세 자랑스러운 일이냐,1
짱개를 대륙이라부르고 이상한브금까지넣어서 ,1
여성폭력 이란 성별에 기반한 폭력으로 신체적정신적 안녕과 안전할 수 있는 권리 등을 침해하는 행위로서 관계 법률에서 정하는 바에 따른 가정폭력 성폭력 성매매 성희롱 지속적 괴롭힘 행위와 그 밖에 친밀한 관계에 의한 폭력 정보통신망을 이용한 폭력 등을 말한다조문을 왜 니 좇대로 해석함,1
전라도 홍어 씹새끼들이 쪽바리 경찰들과 결탁하여 운동 방해하기 위해 만들었던 단체,1
야 기자 맞냐 이런 쓰레기 기사에 누가 공감한다고 욕안할라하다가도 생각없는 ,1
지랄 옆차기 중,1
새차 준다고 하니까 저  하지 세기,1
거긴 지금 개중공애들도 많고 일단 홍어들이 모조리 이주해온 곳이라 위험해 청소년들도 최악이구,1
송창의 이유리 진짜못된년놈들 결혼식장에서키스하고 깽판쳐끼리끼리잘놀아라 차은혁은 유괴범아들 민채린은보육원에서 막자란애,1
어린 나무 좆마니 나무 이식 작업은 전세계 어디서나 똑같이 한단다 무식한 새끼야 무식한 새끼가 경험까지도 없어서 과수농원 구경이라도 한번 해봤어야 알지 ,1
일베에서 틀딱거리는 새끼들  전라도 대깨문 평균나이 대이상지들이 노인인 줄 모르고 애들 노는데서 틀틀 거리는 거 존나 웃김,1
뭐 현장출동직도 존나 큰 화제 없으면 족구나 차는 개꿀직이고,1
하여간 더럽게 역겨움,1
그 틀딱에게는 진짜 삼성이 좋다,1
댓글에 한남내나네 그남들 좌표 찍었나봄,1
우측은 더이상 가망없는 노답임,1
엽문시발 걍 짱깨 쿵푸권사 몆이긴거임,1
전시라고 말했고 여럿이서 사람 병신만들기 쉽고 죽은자는 말이없다내목숨을 위해서 기꺼히 엿같은 새끼에게 내  소총으로 후장을 갈겨줄테다 그게 간부라고 해도 말이지간부새끼땜에 죽나 다르게죽나 죽는건 매한가지,1
사회생활하면서 전라도만 거르면됨,1
야박하고 인색한년들 존나많음  질투심도 강하고,1
진짜 개극혐 직업이다 ,1
여정아 박근혜 누드화 내걸리는 거 못 봤냐 여기는 대통한테도 삶은소대가리라 부르는데,1
으따 성님의 오줌이랑 똥도 전부 일제꺼랑께요 성님 눈코입도 전부 일제꺼랑께요,1
씹보지년,1
짱퀴벌레냐,1
와 이런 중고딩이쓴거같은 개무식한 개똥글도 일베가고 일베 망햇네 ,1
황교안이모지리라도재앙이같이 사악한 인간은아니다아주 끔찍한 인간 문재앙,1
근데 저거 검색해보니까 일본에서 아이들이 밖에서 늦게까지 놀러다니지말라고 부모들이 지어낸 이야기노  시발,1
안동은 타지 사람이 와서 잠깐이라도 살곳이 못된다 텃세가 진짜 상상도 못하고사람들 존나게 틱틱거리고 불친절하다 장사하는 새끼들도 손님한테 서비스마인드 이딴거 없음 이건 지들끼리도 다 인정하는거고인심좋다는 시장도 가면 호객행위 이런거 거의 없고가격 물어보면 안살거면서 왜 물어보냐고 짜증냄헬조센 씹선비 고장의 진수를 보여줌안동 특유의 좆같은 분위기 안살아보면 모름뭐 안동토박이 지들끼리는 집성촌 양반입네 자존심 가지고 잘사는거겠지권씨 류씨 비율 확실히 많고 인구 만명밖에 안됨말만 시지 개깡촌임,1
그럼 마리아 보지가 스타게이트였노,1
올해 안에 꼭 자살해라 존못새끼야 ,1
아직 인국이가 큰 그릇은 아니지 좀 많이 아쉬운 드라마야 인국이가 아니엿으면 더 좋을텐데,1
등급은 가르쳐서 되는 게 아님 그냥 멍청한 학생이 안배우는 거임그리고 그 전에 문과 등급  이과 등급 이랬던거 보면 그냥 이과부심 부리면서 주제모르고 나대는 병신일 듯,1
둘다 별탈없어서 나쁘게 보는건 아닌데 근데 아는형님에서도 느꼈지만 재미는 드럽게 없긴 없다,1
이민을 씨발 갈수있는 새끼는 이미 해외에 집사놨지,1
늙고 추하다,1
전형적인 좌빨 보지식 논리네 ,1
뚝배기 따서 질본에 전시 찬성,1
저 새끼 파보면,1
물론 일부 입니다 씨바,1
사기칠수도 있지 누가 당하래껄꼴꼴,1
키야 역갤 식민지 다된 일베 ,1
장윤정이 담주 전설이 웬말이냐막장으로가네그리고 판정단 입장시킬때 귀지확인하고 입장시켜라막귀들만있나박기영 빼고 다 그냥 쑈다,1
아니 키좀 크고 착하게 생김애새끼가 순진하게 행동했는데 오히려 거기서 여자들 무장해제 들리는 소문엔 대물이라고 하더라,1
누가 악플을 달긴 년대 최악의세대라불리어는 여자들이지,1
어디 회장이 걍재미삼아하겠지,1
걍 해본말인데 또 발기하노 ,1
얜 또 왜설쳐데 조용히 살지 모지란놈,1
니어미,1
노령연금 무상진료 혜택보는 개돼지가 세금내는 우리보다 훨씬많아서 글쌔다,1
내 친구도 와이프 눈코해서 괜찮게 생겼는데 딸래미 낳고보니 개빻았더라친자검사 해봐야 하나 싶은 수준임,1
또 전라도홍어들 특유의 피해자 코스레냐 티아라 쌍둥이홍어들도 알고보니 홍어들이 가해자더구만 하여간 전라도홍어들이 친한척 다가오면 통수치려는거니  전두환장군이 쓰시던 홍어잡이 몽둥이로 후두려 패야한다니까,1
민주주의의 폐해지  도편추방제같은거임 대다수는 누가 뭔 일을 했는지 관심없지 그저 누군가 물어뜯을 거리만 생기면 생각없이 물어 뜯어댈뿐 거기에 민의를 대입하고 정의를 녹여넣으면서 스스로 자기위안삼으면 끝,1
죄앙이새키도 쫌,1
앗아까그새기잔어 개새기야,1
어떤 놈는 선거에 맞춰서 남북정상회담도 조작질 해대는데 어떤 년은 선거가 코앞인데 담배값을 두배나 쳐올리고 자빠짐 진짜 미친 또라이년,1
이 새끼가 이 글에 나온 틀딱마인드네 딱 ,1
진심으로 토나온다,1
장애인 스티븐 호킹박사보다 일베충들의 행복지수가 더 높다,1
아직도 씨를말려야할정도의 머리를 가지고 댓글다는분들이있네,1
개 식,1
두시간 동안 괜찮게봤는데 괜히 트집이네 아마 블랙리스트여서 일베들 더 난리치는듯,1
이서진 노인네들하고 놀면 늙어 바보야,1
병신동네에서 알바나 하는 주제에 이런글 쓰면 뭐 되는 거 같냐너나 걔네나 똑같이 미개한 놈들이지,1
온 가족이 쓰레기네,1
짱개새끼들 미리 만들어놓고 코로나 퍼트리고 여기까와서 이제 푸는거아녀지그나라 대단한 나라라고,1
제발 가서 돌아오지마라,1
흑발미녀장난똥때리냐마녀란 말도 아깝다,1
하여튼 전라도놈들은 뒷배가 좋아 ,1
이 개씹새끼 감성팔이로 일베 두 번 왔네 딸 팔아서 일베 렙업하려는 호로새끼   쳐먹어라,1
