sentence,label
"['이번', '신제품', '출시', '에', '대', '시장', '반응', '어떤', '가요']",0
"['판매량', '지난번', '제품', '보다', '빠르다', '늘다']",0
"['그렇다', '공장', '에', '연락', '하다', '주문', '량', '을', '더', '늘리다']",0
"['지난', '회의', '마지막', '에', '논의', '하다', '안건', '을', '다시', '보다', '요']",0
"['그', '보다는', '이번', '새', '로운', '주제', '가다', '급하다', '같다']",0
"['그렇다', '새롭다', '안건', '으로', '회의', '를', '시작', '도록', '죠']",0
"['이번', '금요일', '까지', '천', '개', '를', '더', '주문', '라는', '건가', '요']",0
"['사무', '용품', '이나', '가구', '중', '가장', '먼저', '바꾸다', '야하다', '뭐라다', '생각', '하나요']",0
"['아무래도', '컴퓨터', '아니다', '요가', '장', '많이', '쓰다', '요']",0
"['저', '모두', '가다', '쓰다', '회의실', '책상', '을', '먼저', '바꾸다', '야하다', '생각', '해', '요']",0
"['그렇다', '있다', '회사', '에서', '제일', '오래되다', '기도', '하다']",0
"['오늘이', '나', '내일', '중', '에', '본사', '에', '가시다', '불다']",0
"['제', '가오', '늘다', '후시', '쯤', '본사', '에가', '려고', '하다']",0
"['그렇다', '오늘', '회의', '결과', '도', '함께', '가지', '고가', '주다']",0
"['너무', '늦다', '않다', '지금', '본사', '로', '보내다', '더', '빠르다', '같다']",0
"['행사', '진행', '아이디어', '있다', '지금', '내주다']",0
"['모든', '직원', '에게', '메일', '로', '아이디어', '를', '개', '씩', '받다', '어떻다', '요']",0
"['좋다', '생각', '이네', '요', '지금', '당장', '메일', '을', '보내다']",0
"['오후', '에는', '회의', '대신', '교육', '프로그램', '예정', '되어다', '않다']",0
"['어제', '교육', '프로그램', '연기', '되어다', '메일', '을', '받다', '하다']",0
"['확인', '하다', '기회', '없다', '언', '제로', '연기', '돼다', '알다']",0
"['아마', '다음주', '화', '요', '일일', '거', '에요', '다시', '확인', '해보다']",0
"['우리', '제품', '어떤', '방식', '으로', '도쿄', '에', '보내다']",0
"['먼저', '배', '로', '도쿄', '근처', '항구', '까지', '운반', '하고', '그', '후차', '를', '이용', '하다']",0
"['그냥', '서울', '에서', '비행기', '로', '바로', '보내다', '낫', '지', '않다']",0
"['비용', '많이', '들어서다', '금', '과', '같다', '방법', '을', '택', '하다']",0
"['왜', '오늘', '오전', '에', '실시', '되다', '교육', '에', '참여', '지', '않다']",0
"['교육', '에', '참여', '하다', '피다', '선택', '이다']",0
"['그렇다', '그', '내용', '을', '어디서', '확인', '하다']",0
"['교육', '안내', '메일', '하단', '에', '작다', '글씨', '로', '적히다']",0
"['창고', '에', '있다', '두', '개', '박스', '중', '어떤', '박스', '를', '배달', '하다']",0
"['두', '박스', '모두', '필요', '니까', '전부', '다', '배달', '하다', '해', '요']",0
"['저', '한개', '박스', '만', '배달', '면', '되다', '알다']",0
