sentence,label
이번 신제품 출시에 대한 시장의 반응은 어떤가요,0
판매량이 지난번 제품보다 빠르게 늘고 있습니다,0
그렇다면 공장에 연락해서 주문량을 더 늘려야겠네요,0
지난 회의 마지막에 논의했던 안건을 다시 볼까요,0
그보다는 이번 주 새로운 주제가 더 급한 것 같습니다,0
그럼 새로운 안건으로 회의를 시작하도록 하죠,0
이번 주 금요일까지 천개를 더 주문하라는 건가요,0
사무용품이나 가구 중 가장 먼저 바꿔야 할 것은 뭐라고 생각하나요,0
아무래도 컴퓨터가 아닐까요 가장 많이 쓰니까요,0
저는 모두가 같이 쓰는 회의실 책상을 먼저 바꿔야 한다고 생각해요,0
그럴 수도 있겠네요 회사에서 제일 오래되기도 했죠,0
오늘이나 내일 중에 본사에 가시는 분이 있나요,0
제가 오늘 오후 시쯤 본사에 가려고 했습니다,0
그럼 오늘 회의 결과도 함께 가지고 가 주시겠어요,0
너무 늦지 않을까요 지금 본사로 보내는 것이 더 빠를 것 같아요,0
행사 진행 아이디어가 있으면 지금 내주세요,0
모든 직원에게 메일로 아이디어를 개씩 받으면 어떨까요,0
좋은 생각이네요 지금 당장 메일을 보내야겠어요,0
오후에는 회의 대신 교육프로그램이 예정되어있지 않았나요,0
어제 교육프로그램이 연기되었다는 메일을 받지 못했나요,0
확인할 기회가 없었어요 언제로 연기됐는지 아시나요,0
아마 다음 주 화요일 일 거에요 다시 확인해볼게요,0
우리 제품은 어떤 방식으로 도쿄에 보내지나요,0
먼저 배로 도쿄 근처 항구까지 운반하고 그 후 차를 이용합니다,0
그냥 서울에서 비행기로 바로 보내는 것이 낫지 않나요,0
비용이 많이 들어서 지금과 같은 방법을 택했습니다,0
왜 오늘 오전에 실시된 교육에 참여하지 않았나요,0
교육에 참여하는 것은 필수가 아니라 선택이었어요,0
그래요 그 내용을 어디서 확인할 수 있나요,0
교육 안내 메일 하단에 작은 글씨로 적혀있어요,0
창고에 있는 두 개의 박스 중 어떤 박스를 배달해야 하죠,0
두 박스 모두 필요하니까 전부 다 배달해야 해요,0
저는 한 개의 박스만 배달하면 된다고 알고 있었는데요,0
그럼 제가 다시 한번 확인해볼게요 잠시만 기다리세요,0
우리 잡지의 구독을 취소하는 가장 큰 이유는 뭔가요,0
정기구독 기간이 끝나면 다시 신청하지 않는 게 제일 큽니다,0
그렇다면 정기구독을 자동연장하는 것으로 바꾸면 어떨까요,0
그렇게 한다면 비용 문제로 구독자들과 마찰이 생길 수도 있습니다,0
우리 회사의 광고에 사용할 사진으로는 어떤 것이 좋을까요,0
배경에 바다와 배들이 있는 사진이 좋다고 생각해요,0
곧 여름이니까 시원한 느낌의 배경을 고른 거군요,0
회사 창고 중에 가장 큰 창고는 어느 지역의 창고인가요,0
아마 양재에 있는 창고가 가장 크다고 알고 있어요,0
그럼 이번 신제품 보관은 그 창고에 하는 것이 좋겠네요,0
올해의 여름휴가는 며칠부터 며칠까지인가요,0
월 일부터 월 일까지가 공식적인 기간이에요,0
모든 직원에게 여름휴가를 그 기간으로 전달하면 될까요,0
우리가 이번 프로젝트의 예산을 수정해야 할까요,0
그렇다면 조정이 필요한 부분을 표시해주실래요,0
따로 보고서를 작성하여 다음 회의에 전달할게요,0
최종 발표 전에 이 보고서들을 한 번 더 검토해야 할까요,0
그럼 괜찮겠네요 바로 최종 발표 준비를 시작하죠,0
최종 발표 자료는 이미 완성되어 책상 위에 있습니다,0
회사 웹사이트를 업데이트하는 것은 어떤가요,0
지금은 새로운 프로젝트로 바빠서 업데이트할 시간이 없어요,0
그럼 회사 웹사이트 업데이트는 언제쯤 가능한가요,0
조금 늦어도 괜찮다면 달 뒤에 가능할 것 같아요,0
내일 세미나를 위해 호실을 사용하고 싶은데요,0
원래 사용하려던 호실보다 배 정도 큰 공간인데요,0
잘됐네요 지금 바로 호실에서 호실로 변경해드릴게요,0
혹시 오늘이나 내일 바로 출장을 떠날 수 있나요,0
